FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),IP Radio Bursts,Decametric Type II Burst Start Time (UT) (HH:MM),Decametric Type II Burst End Time (UT) (HH:MM),Decametric type II burst frequency range (MHz),Radio Comments
FLARE0044,CME0047,,STIX,,2022-08-30 17:35:51,,2022-08-30 17:57:39,,2022-08-30 19:09:43,,X1,,,108.0,-27.0,,0.76,,,2022-08-30 17:37:51,,2022-08-30 17:59:39,,2022-08-30 19:11:43,,2022-08-30 17:29:32,,2022-08-30 17:51:20,,2022-08-30 19:03:24,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220830.png,,,,
FLARE0045,,,STIX,,2022-08-31 10:39:19,,2022-08-31 10:43:39,,2022-08-31 10:52:23,,M8,,,118.0,-30.0,,0.754,,,2022-08-31 10:41:22,,2022-08-31 10:45:42,,2022-08-31 10:54:26,,2022-08-31 10:33:03,,2022-08-31 10:37:23,,2022-08-31 10:46:07,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220831.png,,,,
FLARE0046,,,STIX,,2022-09-01 03:03:27,,2022-09-01 03:14:11,,2022-09-01 04:00:19,,M5,,,126.0,-28.0,,0.747,,,2022-09-01 03:05:34,,2022-09-01 03:16:18,,2022-09-01 04:02:26,,2022-09-01 02:57:15,,2022-09-01 03:07:59,,2022-09-01 03:54:07,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220901.png,,,,
FLARE0047,,,STIX,,2022-09-05 15:25:28,,2022-09-05 16:17:56,,2022-09-05 17:03:08,,M9,,,-174.0,-32.0,,0.703,,,2022-09-05 15:27:57,,2022-09-05 16:20:25,,2022-09-05 17:05:37,,2022-09-05 15:19:38,,2022-09-05 16:12:06,,2022-09-05 16:57:18,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220905.png,,,,
FLARE0048,,,STIX,,2022-09-10 21:29:33,,2022-09-10 21:36:29,,2022-09-10 22:59:25,,M8,,,154.0,-26.0,,0.648,,,2022-09-10 21:32:29,,2022-09-10 21:39:25,,2022-09-10 23:02:21,,2022-09-10 21:24:10,,2022-09-10 21:31:06,,2022-09-10 22:54:02,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220910.png,,,,
FLARE0049,,,STIX,,2022-09-11 07:38:53,,2022-09-11 07:46:17,,2022-09-11 08:57:49,,M7,,,160.0,-27.0,,0.643,,,2022-09-11 07:41:52,,2022-09-11 07:49:16,,2022-09-11 09:00:48,,2022-09-11 07:33:33,,2022-09-11 07:40:57,,2022-09-11 08:52:29,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220911.png,,,,
FLARE0050,,,STIX,,2022-09-11 12:41:01,,2022-09-11 12:45:37,,2022-09-11 14:03:05,,M9,,,162.0,-26.0,,0.641,,,2022-09-11 12:44:01,,2022-09-11 12:48:37,,2022-09-11 14:06:05,,2022-09-11 12:35:42,,2022-09-11 12:40:18,,2022-09-11 13:57:46,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220911.png,,,,
FLARE0051,,,STIX,,2022-09-14 08:54:59,,2022-09-14 08:58:59,,2022-09-14 09:16:15,,M7,,,-160.0,-25.0,,0.608,,,2022-09-14 08:58:15,,2022-09-14 09:02:15,,2022-09-14 09:19:31,,2022-09-14 08:49:56,,2022-09-14 08:53:56,,2022-09-14 09:11:12,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220914.png,,,,
FLARE0052,,,STIX,,2022-09-14 14:11:19,,2022-09-14 14:33:43,,2022-09-14 15:21:55,,M5,,,-157.0,-24.0,,0.605,,,2022-09-14 14:14:37,,2022-09-14 14:37:01,,2022-09-14 15:25:13,,2022-09-14 14:06:18,,2022-09-14 14:28:42,,2022-09-14 15:16:54,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220914.png,,,,
FLARE0053,,,GOES/STIX,2022-09-16 09:44:00,2022-09-16 09:31:27,2022-09-16 09:49:00,2022-09-16 09:45:51,2022-09-16 09:56:00,2022-09-16 10:38:47,M7.9,M8,85.0,18.0,82.0,19.0,1.0,0.583,13098.0,2022-09-16 09:44:00,2022-09-16 09:34:56,2022-09-16 09:49:00,2022-09-16 09:49:20,2022-09-16 09:56:00,2022-09-16 10:42:16,2022-09-16 09:35:41,2022-09-16 09:26:37,2022-09-16 09:40:41,2022-09-16 09:41:01,2022-09-16 09:47:41,2022-09-16 10:33:57,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220916.png,,,,
FLARE0054,,,GOES/STIX,2022-09-16 15:49:00,2022-09-16 15:45:59,2022-09-16 15:59:00,2022-09-16 15:55:15,2022-09-16 16:12:00,2022-09-16 16:34:43,M6.2,M5,81.0,18.0,80.0,19.0,1.0,0.58,13098.0,2022-09-16 15:49:00,2022-09-16 15:49:29,2022-09-16 15:59:00,2022-09-16 15:58:45,2022-09-16 16:12:00,2022-09-16 16:38:13,2022-09-16 15:40:41,2022-09-16 15:41:10,2022-09-16 15:50:41,2022-09-16 15:50:26,2022-09-16 16:03:41,2022-09-16 16:29:54,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220916.png,,,,
FLARE0055,,,STIX,,2022-09-17 20:05:23,,2022-09-17 20:33:07,,2022-09-17 21:05:35,,M6,,,100.0,19.0,,0.565,,,2022-09-17 20:09:01,,2022-09-17 20:36:45,,2022-09-17 21:09:13,,2022-09-17 20:00:42,,2022-09-17 20:28:26,,2022-09-17 21:00:54,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220917.png,,,,
FLARE0056,,,STIX,,2022-09-28 23:53:44,,2022-09-29 00:09:36,,2022-09-29 01:29:48,,M5,,,-116.0,21.0,,0.417,,,2022-09-28 23:58:35,,2022-09-29 00:14:27,,2022-09-29 01:34:39,,2022-09-28 23:50:16,,2022-09-29 00:06:08,,2022-09-29 01:26:20,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220928.png,,,,
FLARE0057,,,STIX,,2022-09-29 11:44:36,,2022-09-29 11:51:36,,2022-09-29 12:51:48,,X1,,,-110.0,23.0,,0.41,,,2022-09-29 11:49:31,,2022-09-29 11:56:31,,2022-09-29 12:56:43,,2022-09-29 11:41:12,,2022-09-29 11:48:12,,2022-09-29 12:48:24,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220929.png,12:00,12:26,25-180,RSTN
FLARE0058,,,GOES,2022-10-01 19:58:00,,2022-10-01 20:10:00,,2022-10-01 20:16:00,,M5.8,,36.0,18.0,,,1.0,,13110.0,2022-10-01 19:58:00,,2022-10-01 20:10:00,,2022-10-01 20:16:00,,2022-10-01 19:49:41,,2022-10-01 20:01:41,,2022-10-01 20:07:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221001.png,,,,
FLARE0059,,,GOES,2022-10-02 02:08:00,,2022-10-02 02:21:00,,2022-10-02 02:26:00,,M8.7,,34.0,16.0,,,1.0,,13110.0,2022-10-02 02:08:00,,2022-10-02 02:21:00,,2022-10-02 02:26:00,,2022-10-02 01:59:41,,2022-10-02 02:12:41,,2022-10-02 02:17:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221002.png,,,,
FLARE0060,CME0054,,GOES,2022-10-02 19:53:00,,2022-10-02 20:25:00,,2022-10-02 20:34:00,,X1.0,,49.0,17.0,,,1.0,,13110.0,2022-10-02 19:53:00,,2022-10-02 20:25:00,,2022-10-02 20:34:00,,2022-10-02 19:44:41,,2022-10-02 20:16:41,,2022-10-02 20:25:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221002.png,,,,
FLARE0061,,,GOES,2022-11-06 23:59:00,,2022-11-07 00:11:00,,2022-11-07 00:16:00,,M5.2,,-56.0,12.0,,,1.0,,13141.0,2022-11-06 23:59:00,,2022-11-07 00:11:00,,2022-11-07 00:16:00,,2022-11-06 23:50:41,,2022-11-07 00:02:41,,2022-11-07 00:07:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221106.png,00:11,00:22,30-156,RSTN
FLARE0062,,,GOES/STIX,2022-12-14 11:45:00,2022-12-14 11:45:40,2022-12-14 11:59:00,2022-12-14 12:30:00,2022-12-14 12:17:00,2022-12-14 13:10:08,M4.1,M5,42.0,-21.0,46.0,-22.0,1.0,0.89,13165.0,2022-12-14 11:45:00,2022-12-14 11:46:35,2022-12-14 11:59:00,2022-12-14 12:30:55,2022-12-14 12:17:00,2022-12-14 13:11:03,2022-12-14 11:36:41,2022-12-14 11:38:16,2022-12-14 11:50:41,2022-12-14 12:22:36,2022-12-14 12:08:41,2022-12-14 13:02:44,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221214.png,,,,
FLARE0063,,,GOES/STIX,2022-12-14 14:31:00,2022-12-14 14:33:28,2022-12-14 14:42:00,2022-12-14 14:40:16,2022-12-14 14:49:00,2022-12-14 15:15:00,M6.3,M7,49.0,-20.0,47.0,-23.0,1.0,0.89,13165.0,2022-12-14 14:31:00,2022-12-14 14:34:23,2022-12-14 14:42:00,2022-12-14 14:41:11,2022-12-14 14:49:00,2022-12-14 15:15:55,2022-12-14 14:22:41,2022-12-14 14:26:04,2022-12-14 14:33:41,2022-12-14 14:32:52,2022-12-14 14:40:41,2022-12-14 15:07:36,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221214.png,,,,
FLARE0064,,,GOES/STIX,2022-12-15 22:20:00,2022-12-15 22:12:32,2022-12-15 22:40:00,2022-12-15 22:37:20,2022-12-15 22:57:00,2022-12-15 23:21:32,M5.7,M5,61.0,-20.0,70.0,-23.0,1.0,0.896,13165.0,2022-12-15 22:20:00,2022-12-15 22:13:24,2022-12-15 22:40:00,2022-12-15 22:38:12,2022-12-15 22:57:00,2022-12-15 23:22:24,2022-12-15 22:11:41,2022-12-15 22:05:05,2022-12-15 22:31:41,2022-12-15 22:29:53,2022-12-15 22:48:41,2022-12-15 23:14:05,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221215.png,,,,
FLARE0065,,,STIX,,2022-12-27 07:22:24,,2022-12-27 07:29:00,,2022-12-27 08:34:36,,X1,,,-100.0,21.0,,0.936,,,2022-12-27 07:22:56,,2022-12-27 07:29:32,,2022-12-27 08:35:08,,2022-12-27 07:14:37,,2022-12-27 07:21:13,,2022-12-27 08:26:49,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221227.png,,,,
FLARE0066,,,STIX,,2022-12-27 17:07:36,,2022-12-27 17:13:08,,2022-12-27 17:48:32,,M8,,,-103.0,20.0,,0.937,,,2022-12-27 17:08:08,,2022-12-27 17:13:40,,2022-12-27 17:49:04,,2022-12-27 16:59:49,,2022-12-27 17:05:21,,2022-12-27 17:40:45,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221227.png,,,,
FLARE0067,,,STIX,,2022-12-28 02:09:16,,2022-12-28 02:47:48,,2022-12-28 03:23:32,,M5,,,-111.0,19.0,,0.938,,,2022-12-28 02:09:47,,2022-12-28 02:48:19,,2022-12-28 03:24:03,,2022-12-28 02:01:28,,2022-12-28 02:40:00,,2022-12-28 03:15:44,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20221228.png,,,,
FLARE0068,CME0073,,STIX,,2023-01-03 06:21:00,,2023-01-03 06:29:08,,2023-01-03 07:43:08,,X6,,,-110.0,-18.0,,0.949,,,2023-01-03 06:21:26,,2023-01-03 06:29:34,,2023-01-03 07:43:34,,2023-01-03 06:13:07,,2023-01-03 06:21:15,,2023-01-03 07:35:15,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230103.png,,,,
FLARE0069,,,GOES/STIX,2023-01-06 00:43:00,2023-01-06 00:47:23,2023-01-06 00:57:00,2023-01-06 00:56:39,2023-01-06 01:07:00,2023-01-06 02:00:31,X1.2,X1,-68.0,-18.0,-61.0,-21.0,1.0,0.952,13182.0,2023-01-06 00:43:00,2023-01-06 00:47:47,2023-01-06 00:57:00,2023-01-06 00:57:03,2023-01-06 01:07:00,2023-01-06 02:00:55,2023-01-06 00:34:41,2023-01-06 00:39:28,2023-01-06 00:48:41,2023-01-06 00:48:44,2023-01-06 00:58:41,2023-01-06 01:52:36,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230106.png,,,,
FLARE0070,,,GOES/STIX,2023-01-09 18:37:00,2023-01-09 18:28:16,2023-01-09 18:50:00,2023-01-09 18:50:12,2023-01-09 18:57:00,2023-01-09 19:37:28,X1.9,X2,-72.0,-14.0,-71.0,-15.0,1.0,0.954,13184.0,2023-01-09 18:37:00,2023-01-09 18:28:39,2023-01-09 18:50:00,2023-01-09 18:50:35,2023-01-09 18:57:00,2023-01-09 19:37:51,2023-01-09 18:28:41,2023-01-09 18:20:20,2023-01-09 18:41:41,2023-01-09 18:42:16,2023-01-09 18:48:41,2023-01-09 19:29:32,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230109.png,,,,
FLARE0071,,,GOES/STIX,2023-01-10 00:09:00,2023-01-10 00:10:16,2023-01-10 00:16:00,2023-01-10 00:15:16,2023-01-10 00:22:00,2023-01-10 00:39:56,M5.1,M7,-80.0,25.0,-75.0,22.0,1.0,0.954,13186.0,2023-01-10 00:09:00,2023-01-10 00:10:39,2023-01-10 00:16:00,2023-01-10 00:15:39,2023-01-10 00:22:00,2023-01-10 00:40:19,2023-01-10 00:00:41,2023-01-10 00:02:20,2023-01-10 00:07:41,2023-01-10 00:07:20,2023-01-10 00:13:41,2023-01-10 00:32:00,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230110.png,,,,
FLARE0072,,,STIX,,2023-01-10 02:11:52,,2023-01-10 02:20:48,,2023-01-10 03:20:44,,M7,,,-113.0,-17.0,,0.954,,,2023-01-10 02:12:15,,2023-01-10 02:21:11,,2023-01-10 03:21:07,,2023-01-10 02:03:56,,2023-01-10 02:12:52,,2023-01-10 03:12:48,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230110.png,,,,
FLARE0073,,,GOES/STIX,2023-01-10 22:39:00,2023-01-10 22:40:04,2023-01-10 22:47:00,2023-01-10 22:46:24,2023-01-10 22:52:00,2023-01-10 23:24:24,X1.0,X1,-66.0,25.0,-61.0,21.0,1.0,0.954,13186.0,2023-01-10 22:39:00,2023-01-10 22:40:27,2023-01-10 22:47:00,2023-01-10 22:46:47,2023-01-10 22:52:00,2023-01-10 23:24:47,2023-01-10 22:30:41,2023-01-10 22:32:08,2023-01-10 22:38:41,2023-01-10 22:38:28,2023-01-10 22:43:41,2023-01-10 23:16:28,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230110.png,,,,
FLARE0074,,,GOES/STIX,2023-01-11 01:49:00,2023-01-11 01:45:40,2023-01-11 01:56:00,2023-01-11 01:55:08,2023-01-11 02:01:00,2023-01-11 02:22:44,M5.6,M9,-21.0,-16.0,-54.0,-16.0,1.0,0.954,13184.0,2023-01-11 01:49:00,2023-01-11 01:46:03,2023-01-11 01:56:00,2023-01-11 01:55:31,2023-01-11 02:01:00,2023-01-11 02:23:07,2023-01-11 01:40:41,2023-01-11 01:37:44,2023-01-11 01:47:41,2023-01-11 01:47:12,2023-01-11 01:52:41,2023-01-11 02:14:48,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230111.png,01:53,01:54,93-141,RSTN
FLARE0075,,,STIX,,2023-01-11 08:27:48,,2023-01-11 08:33:00,,2023-01-11 08:57:44,,M6,,,-55.0,21.0,,0.954,,,2023-01-11 08:28:11,,2023-01-11 08:33:23,,2023-01-11 08:58:07,,2023-01-11 08:19:52,,2023-01-11 08:25:04,,2023-01-11 08:49:48,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230111.png,,,,
FLARE0076,,,GOES,2023-01-15 03:08:00,,2023-01-15 03:42:00,,2023-01-15 04:08:00,,M6.0,,-32.0,-23.0,,,1.0,,13191.0,2023-01-15 03:08:00,,2023-01-15 03:42:00,,2023-01-15 04:08:00,,2023-01-15 02:59:41,,2023-01-15 03:33:41,,2023-01-15 03:59:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230115.png,03:10,03:36,60-180,RSTN
FLARE0077,,,GOES,2023-02-07 23:05:00,2023-02-07 22:31:36,2023-02-07 23:07:00,2023-02-07 23:06:28,2023-02-07 23:09:00,2023-02-07 23:43:20,M6.3,M8,-3.0,30.0,-3.0,29.0,1.0,0.884,13213.0,2023-02-07 23:05:00,2023-02-07 22:32:34,2023-02-07 23:07:00,2023-02-07 23:07:26,2023-02-07 23:09:00,2023-02-07 23:44:18,2023-02-07 22:56:41,2023-02-07 22:24:15,2023-02-07 22:58:41,2023-02-07 22:59:07,2023-02-07 23:00:41,2023-02-07 23:35:59,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230207.png,,,,
FLARE0078,,,GOES/STIX,2023-02-11 15:40:00,2023-02-11 15:40:07,2023-02-11 15:48:00,2023-02-11 15:47:27,2023-02-11 15:54:00,2023-02-11 16:23:39,X1.1,X1,-39.0,-8.0,-38.0,-12.0,1.0,0.864,13217.0,2023-02-11 15:40:00,2023-02-11 15:41:15,2023-02-11 15:48:00,2023-02-11 15:48:35,2023-02-11 15:54:00,2023-02-11 16:24:47,2023-02-11 15:31:41,2023-02-11 15:32:56,2023-02-11 15:39:41,2023-02-11 15:40:16,2023-02-11 15:45:41,2023-02-11 16:16:28,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230211.png,,,,
FLARE0079,,,STIX,,2023-02-14 02:50:15,,2023-02-14 03:05:19,,2023-02-14 04:22:11,,M6,,,-113.0,24.0,,0.85,,,2023-02-14 02:51:30,,2023-02-14 03:06:34,,2023-02-14 04:23:26,,2023-02-14 02:43:11,,2023-02-14 02:58:15,,2023-02-14 04:15:07,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230214.png,,,,
FLARE0080,CME0087,,GOES/STIX,2023-02-17 19:38:00,2023-02-17 19:51:04,2023-02-17 20:16:00,2023-02-17 20:00:36,2023-02-17 20:50:00,2023-02-17 20:01:36,X2.2,X1,-64.0,25.0,-63.0,24.0,1.0,0.825,13229.0,2023-02-17 19:38:00,2023-02-17 19:52:32,2023-02-17 20:16:00,2023-02-17 20:02:04,2023-02-17 20:50:00,2023-02-17 20:03:04,2023-02-17 19:29:41,2023-02-17 19:44:13,2023-02-17 20:07:41,2023-02-17 19:53:45,2023-02-17 20:41:41,2023-02-17 19:54:45,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230217.png,19:57,20:36,25-180,RSTN
FLARE0081,,,GOES/STIX,2023-02-20 14:47:00,2023-02-20 14:37:34,2023-02-20 14:58:00,2023-02-20 14:56:02,2023-02-20 15:03:00,2023-02-20 15:55:26,M4.4,M6,-75.0,25.0,-78.0,24.0,1.0,0.805,13234.0,2023-02-20 14:47:00,2023-02-20 14:39:12,2023-02-20 14:58:00,2023-02-20 14:57:40,2023-02-20 15:03:00,2023-02-20 15:57:04,2023-02-20 14:38:41,2023-02-20 14:30:53,2023-02-20 14:49:41,2023-02-20 14:49:21,2023-02-20 14:54:41,2023-02-20 15:48:45,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230220.png,,,,
FLARE0082,,,GOES/STIX,2023-02-21 11:14:00,2023-02-21 10:40:34,2023-02-21 11:23:00,2023-02-21 11:20:18,2023-02-21 11:31:00,2023-02-21 12:06:42,M4.7,M5,,,-67.0,24.0,1.0,0.799,13234.0,2023-02-21 11:14:00,2023-02-21 10:42:15,2023-02-21 11:23:00,2023-02-21 11:21:59,2023-02-21 11:31:00,2023-02-21 12:08:23,2023-02-21 11:05:41,2023-02-21 10:33:56,2023-02-21 11:14:41,2023-02-21 11:13:40,2023-02-21 11:22:41,2023-02-21 12:00:04,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230221.png,,,,
FLARE0083,,,GOES/STIX,2023-02-21 19:57:00,2023-02-21 20:04:18,2023-02-21 20:17:00,2023-02-21 20:13:30,2023-02-21 20:30:00,2023-02-21 20:35:26,M5.0,M6,-64.0,26.0,-62.0,25.0,1.0,0.796,13234.0,2023-02-21 19:57:00,2023-02-21 20:06:00,2023-02-21 20:17:00,2023-02-21 20:15:12,2023-02-21 20:30:00,2023-02-21 20:37:08,2023-02-21 19:48:41,2023-02-21 19:57:41,2023-02-21 20:08:41,2023-02-21 20:06:53,2023-02-21 20:21:41,2023-02-21 20:28:49,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230221.png,20:19,20:31,25-115,RSTN
FLARE0084,CME0089,,GOES,2023-02-25 18:40:00,,2023-02-25 19:44:00,,2023-02-25 20:27:00,,M6.3,,43.0,26.0,,,1.0,,13229.0,2023-02-25 18:40:00,,2023-02-25 19:44:00,,2023-02-25 20:27:00,,2023-02-25 18:31:41,,2023-02-25 19:35:41,,2023-02-25 20:18:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230225.png,,,,
FLARE0085,,,GOES/STIX,2023-02-28 17:35:00,2023-02-28 17:35:26,2023-02-28 17:50:00,2023-02-28 17:47:22,2023-02-28 17:56:00,2023-02-28 18:53:38,M8.6,M8,29.0,27.0,30.0,27.0,1.0,0.738,13234.0,2023-02-28 17:35:00,2023-02-28 17:37:37,2023-02-28 17:50:00,2023-02-28 17:49:33,2023-02-28 17:56:00,2023-02-28 18:55:49,2023-02-28 17:26:41,2023-02-28 17:29:18,2023-02-28 17:41:41,2023-02-28 17:41:14,2023-02-28 17:47:41,2023-02-28 18:47:30,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230228.png,,,,
FLARE0086,,,GOES,2023-03-03 17:42:00,,2023-03-03 17:52:00,,2023-03-03 17:59:00,,X2.1,,80.0,22.0,,,1.0,,13234.0,2023-03-03 17:42:00,,2023-03-03 17:52:00,,2023-03-03 17:59:00,,2023-03-03 17:33:41,,2023-03-03 17:43:41,,2023-03-03 17:50:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230303.png,17:53,18:24,25-180,RSTN
FLARE0087,,,GOES,2023-03-04 15:19:00,,2023-03-04 15:57:00,,2023-03-04 16:26:00,,M5.2,,87.0,19.0,,,1.0,,13234.0,2023-03-04 15:19:00,,2023-03-04 15:57:00,,2023-03-04 16:26:00,,2023-03-04 15:10:41,,2023-03-04 15:48:41,,2023-03-04 16:17:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230304.png,15:31,15:36,36-83,RSTN
FLARE0088,,,GOES/STIX,2023-03-05 21:29:00,2023-03-05 21:26:46,2023-03-05 21:36:00,2023-03-05 21:32:38,2023-03-05 21:41:00,2023-03-05 23:15:26,M5.0,M6,60.0,18.0,58.0,18.0,1.0,0.688,13243.0,2023-03-05 21:29:00,2023-03-05 21:29:22,2023-03-05 21:36:00,2023-03-05 21:35:14,2023-03-05 21:41:00,2023-03-05 23:18:02,2023-03-05 21:20:41,2023-03-05 21:21:03,2023-03-05 21:27:41,2023-03-05 21:26:55,2023-03-05 21:32:41,2023-03-05 23:09:43,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230305.png,,,,
FLARE0089,,,GOES/STIX,2023-03-06 02:08:00,2023-03-06 02:11:04,2023-03-06 02:28:00,2023-03-06 02:22:56,2023-03-06 02:35:00,2023-03-06 03:37:16,M5.8,M5,65.0,19.0,58.0,18.0,1.0,0.686,13243.0,2023-03-06 02:08:00,2023-03-06 02:13:41,2023-03-06 02:28:00,2023-03-06 02:25:33,2023-03-06 02:35:00,2023-03-06 03:39:53,2023-03-06 01:59:41,2023-03-06 02:05:22,2023-03-06 02:19:41,2023-03-06 02:17:14,2023-03-06 02:26:41,2023-03-06 03:31:34,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230306.png,,,,
FLARE0090,,,GOES/STIX,2023-03-29 02:18:00,2023-03-29 02:14:28,2023-03-29 02:33:00,2023-03-29 02:27:44,2023-03-29 02:40:00,2023-03-29 03:20:32,X1.2,X1,59.0,-21.0,61.0,-22.0,1.0,0.399,13256.0,2023-03-29 02:18:00,2023-03-29 02:19:28,2023-03-29 02:33:00,2023-03-29 02:32:44,2023-03-29 02:40:00,2023-03-29 03:25:32,2023-03-29 02:09:41,2023-03-29 02:11:09,2023-03-29 02:24:41,2023-03-29 02:24:25,2023-03-29 02:31:41,2023-03-29 03:17:13,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230329.png,,,,
FLARE0091,,,GOES,2023-03-30 07:24:00,,2023-03-30 07:37:00,,2023-03-30 07:43:00,,M5.4,,81.0,-22.0,,,1.0,,13256.0,2023-03-30 07:24:00,,2023-03-30 07:37:00,,2023-03-30 07:43:00,,2023-03-30 07:15:41,,2023-03-30 07:28:41,,2023-03-30 07:34:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230330.png,07:36,07:40,25-180,RSTN
FLARE0092,,,GOES,2023-05-01 13:02:00,,2023-05-01 13:09:00,,2023-05-01 13:13:00,,M7.1,,45.0,-24.0,,,1.0,,13288.0,2023-05-01 13:02:00,,2023-05-01 13:09:00,,2023-05-01 13:13:00,,2023-05-01 12:53:41,,2023-05-01 13:00:41,,2023-05-01 13:04:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230501.png,,,,
FLARE0093,,,GOES,2023-05-03 10:36:00,,2023-05-03 10:45:00,,2023-05-03 10:49:00,,M7.2,,-42.0,12.0,,,1.0,,13293.0,2023-05-03 10:36:00,,2023-05-03 10:45:00,,2023-05-03 10:49:00,,2023-05-03 10:27:41,,2023-05-03 10:36:41,,2023-05-03 10:40:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2023/crocs_flux_20230503.png,,,,
