FLARE_IDX,CME_IDX,SEP_IDX,Observer,Start Time at Observer (GOES),Start Time at Observer (STIX),Peak Time at Observer (GOES),Peak Time at Observer (STIX),End Time at Observer (GOES),End Time at Observer (STIX),GOES Flare Class,Estimated GOES Flare Class for STIX,GOES HGS LON,GOES HGS LAT,STIX HGS LON,STIX HGS LAT,GOES Distance (AU),STIX Distance (AU),Active Region,Start Time at 1 AU (GOES),Start Time at 1 AU (STIX),Peak Time at 1 AU (GOES),Peak Time at 1 AU (STIX),End Time at 1 AU (GOES),End Time at 1 AU (STIX),Start Time at the Sun (GOES),Start Time at the Sun (STIX),Peak Time at the Sun (GOES),Peak Time at the Sun (STIX),End Time at the Sun (GOES),End Time at the Sun (STIX),IP Radio Bursts,Decametric Type II Burst Start Time (UT) (HH:MM),Decametric Type II Burst End Time (UT) (HH:MM),Decametric type II burst frequency range (MHz),Radio Comments
FLARE0010,,,GOES/STIX,2022-04-20 01:20:00,2022-04-20 01:19:36,2022-04-20 01:36:00,2022-04-20 01:31:24,2022-04-20 01:44:00,2022-04-20 01:52:24,M7.2,M5,86.0,-33.0,92.0,-34.0,1.0,0.565,12992.0,2022-04-20 01:20:00,2022-04-20 01:23:14,2022-04-20 01:36:00,2022-04-20 01:35:02,2022-04-20 01:44:00,2022-04-20 01:56:02,2022-04-20 01:11:41,2022-04-20 01:14:55,2022-04-20 01:27:41,2022-04-20 01:26:43,2022-04-20 01:35:41,2022-04-20 01:47:43,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png,,,,
FLARE0011,,,GOES/STIX,2022-04-20 03:41:00,2022-04-20 03:31:04,2022-04-20 03:57:00,2022-04-20 03:52:40,2022-04-20 04:04:00,2022-04-20 04:30:08,X2.2,X2,86.0,-34.0,94.0,-34.0,1.0,0.566,12992.0,2022-04-20 03:41:00,2022-04-20 03:34:41,2022-04-20 03:57:00,2022-04-20 03:56:17,2022-04-20 04:04:00,2022-04-20 04:33:45,2022-04-20 03:32:41,2022-04-20 03:26:22,2022-04-20 03:48:41,2022-04-20 03:47:58,2022-04-20 03:55:41,2022-04-20 04:25:26,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220420.png,03:55,04:03,25-180,RSTN
FLARE0012,,,GOES,2022-04-21 01:47:00,,2022-04-21 01:59:00,,2022-04-21 02:05:00,,M9.6,,-23.0,22.0,,,1.0,,12993.0,2022-04-21 01:47:00,,2022-04-21 01:59:00,,2022-04-21 02:05:00,,2022-04-21 01:38:41,,2022-04-21 01:50:41,,2022-04-21 01:56:41,,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220421.png,01:57,02:17,25-180,RSTN
FLARE0013,,,STIX,,2022-04-30 09:51:31,,2022-04-30 09:54:19,,2022-04-30 10:00:51,,M6,,,90.0,17.0,,0.684,,,2022-04-30 09:54:09,,2022-04-30 09:56:57,,2022-04-30 10:03:29,,2022-04-30 09:45:50,,2022-04-30 09:48:38,,2022-04-30 09:55:10,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png,09:57,10:17,25-180,RSTN
FLARE0014,,,GOES/STIX,2022-04-30 13:37:00,2022-04-30 13:35:03,2022-04-30 13:47:00,2022-04-30 13:42:03,2022-04-30 13:52:00,2022-04-30 14:19:47,X1.1,X1,88.0,16.0,93.0,16.0,1.0,0.686,12994.0,2022-04-30 13:37:00,2022-04-30 13:37:40,2022-04-30 13:47:00,2022-04-30 13:44:40,2022-04-30 13:52:00,2022-04-30 14:22:24,2022-04-30 13:28:41,2022-04-30 13:29:21,2022-04-30 13:38:41,2022-04-30 13:36:21,2022-04-30 13:43:41,2022-04-30 14:14:05,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png,13:45,14:03,25-180,RSTN
FLARE0015,,,STIX,,2022-04-30 19:39:23,,2022-04-30 19:46:19,,2022-04-30 19:59:35,,X2,,,96.0,17.0,,0.689,,,2022-04-30 19:41:59,,2022-04-30 19:48:55,,2022-04-30 20:02:11,,2022-04-30 19:33:40,,2022-04-30 19:40:36,,2022-04-30 19:53:52,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220430.png,19:47,20:09,25-180,RSTN
FLARE0016,,,STIX,,2022-05-01 04:05:39,,2022-05-01 04:29:23,,2022-05-01 04:44:39,,M6,,,101.0,17.0,,0.692,,,2022-05-01 04:08:13,,2022-05-01 04:31:57,,2022-05-01 04:47:13,,2022-05-01 03:59:54,,2022-05-01 04:23:38,,2022-05-01 04:38:54,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png,,,,
FLARE0017,,,STIX,,2022-05-01 07:56:35,,2022-05-01 08:14:39,,2022-05-01 08:35:35,,X1,,,,,,0.694,,,2022-05-01 07:59:08,,2022-05-01 08:17:12,,2022-05-01 08:38:08,,2022-05-01 07:50:49,,2022-05-01 08:08:53,,2022-05-01 08:29:49,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png,,,,
FLARE0018,,,STIX,,2022-05-01 17:59:35,,2022-05-01 18:02:07,,2022-05-01 18:12:27,,M8,,,110.0,17.0,,0.698,,,2022-05-01 18:02:06,,2022-05-01 18:04:38,,2022-05-01 18:14:58,,2022-05-01 17:53:47,,2022-05-01 17:56:19,,2022-05-01 18:06:39,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png,,,,
FLARE0019,,,STIX,,2022-05-01 22:01:23,,2022-05-01 22:30:39,,2022-05-01 22:47:27,,M6,,,110.0,17.0,,0.7,,,2022-05-01 22:03:53,,2022-05-01 22:33:09,,2022-05-01 22:49:57,,2022-05-01 21:55:34,,2022-05-01 22:24:50,,2022-05-01 22:41:38,https://parker.gsfc.nasa.gov/static_data/crocs/crocs_flux/2022/crocs_flux_20220501.png,,,,
